player,position,school,weight,dash,bench,vertical,broad,shuttle,cone,hand,arm,wing,height
Kene Nwangwu,RB,Iowa State,210.0,4.29,22.0,38.0,125.0,4.25,6.83,9.25,30.5,74.625,72.125
Lawrence White IV,S,Iowa State,195.0,4.62,14.0,33.5,120.0,4.38,7.12,9.25,31.25,73.875,71.875
Dylan Soehner,TE,Iowa State,268.0,4.86,,31.0,112.0,4.43,7.32,9.625,33.5,81.75,78.625
Matt Farniok,IOL,Nebraska,311.0,5.2,28.0,33.0,105.0,4.47,7.19,9.625,33.25,79.75,77.25
Derrick Barnes,LB,Purdue,238.0,4.57,29.0,37.0,119.0,4.32,,9.75,33.375,81.375,72.375
Brennan Thieneman,LB,Purdue,202.0,4.74,14.0,37.0,117.0,4.24,6.93,8.5,30.75,76.125,72.625
Grant Hermanns,OT,Purdue,300.0,5.29,26.0,27.0,107.0,4.58,7.76,9.875,33.5,79.25,79.5
Rondale Moore,WR,Purdue,180.0,4.29,,42.5,126.0,4.06,6.68,8.75,28.25,69.375,67.0
Demetric Felton,RB,UCLA,189.0,4.55,10.0,31.5,114.0,4.47,7.31,9.375,31.5,76.625,68.625
Antjuan Simmons,LB,Michigan State,218.0,4.83,15.0,32.0,112.0,4.28,7.3,9.75,30.75,74.625,71.625
Kobe Jones,EDGE,Mississippi State,255.0,,15.0,28.0,113.0,4.63,7.51,9.5,34.5,83.625,75.25
Erroll Thompson,LB,Mississippi State,239.0,4.81,,30.5,114.0,4.56,7.66,9.875,32.875,78.75,72.5
Paul Blackwell,LS,Mississippi State,228.0,5.26,13.0,,,,,9.125,29.25,68.625,69.5
Reed Bowman,P,Mississippi State,204.0,,,,,,,8.75,30.25,73.5,71.625
KJ Costello,QB,Mississippi State,225.0,5.11,,27.5,103.0,4.75,,10.125,32.875,76.75,76.5
Kylin Hill,RB,Mississippi State,214.0,4.57,22.0,36.0,122.0,4.35,7.2,9.75,30.5,73.625,70.5
Osirus Mitchell,WR,Mississippi State,206.0,4.61,12.0,35.5,128.0,4.34,7.12,10.875,34.375,82.25,77.0
Ernest Jones,LB,South Carolina,230.0,4.72,19.0,38.5,126.0,4.38,7.49,10.375,33.375,80.125,73.5
Collin Hill,QB,South Carolina,213.0,4.93,,33.5,111.0,4.44,7.21,9.125,31.375,78.375,76.375
Shi Smith,WR,South Carolina,186.0,4.43,,36.0,123.0,4.2,6.83,9.5,31.875,75.625,69.5
Jay Tufele,IDL,USC,305.0,5.02,30.0,30.0,105.0,4.9,7.81,9.375,32.5,79.375,74.125
Amon-Ra St. Brown,WR,USC,197.0,4.61,20.0,38.5,127.0,4.26,6.9,9.125,30.375,74.625,71.5
Terrell Jana,WR,Virginia,195.0,4.69,17.0,32.0,110.0,4.13,7.05,9.125,31.75,74.5,71.125
Raymond Johnson III,EDGE,Georgia Southern,260.0,4.78,19.0,33.0,115.0,4.71,7.21,9.375,33.25,79.125,74.5
Ryan Langan,LS,Georgia Southern,237.0,5.15,,,,,,8.875,29.875,73.625,73.125
Michael Johnson,IOL,Savannah State,323.0,5.65,25.0,22.5,96.0,5.32,8.42,9.375,34.125,82.625,77.625
Jack Propst,LS,Mississippi,215.0,5.09,11.0,28.0,104.0,4.58,,9.75,32.5,73.75,70.0
Kenny Yeboah,TE,Mississippi,250.0,,15.0,34.0,116.0,,,9.5,34.125,80.125,75.875
Elijah Moore,WR,Mississippi,178.0,4.35,17.0,36.0,121.0,4.0,6.67,9.375,30.125,71.75,69.5
Jaelon Darden,WR,North Texas,174.0,4.46,11.0,35.5,122.0,4.1,6.67,8.75,30.625,72.5,67.625
Will Fries,OT,Penn State,309.0,5.38,24.0,31.0,115.0,4.53,7.77,10.25,32.875,79.875,78.375
Pat Freiermuth,TE,Penn State,251.0,,,,,,,,32.5,77.75,77.0
Darren Hall,CB,San Diego State,188.0,4.47,16.0,38.5,132.0,4.22,7.12,8.875,30.625,72.875,71.25
Jacob Capra,IOL,San Diego State,300.0,5.34,19.0,27.0,101.0,4.78,8.01,10.625,33.25,80.25,77.125
Turner Bernard,LS,San Diego State,233.0,5.18,23.0,25.5,94.0,4.79,7.72,9.125,30.375,73.25,72.75
Dwayne Johnson Jr.,S,San Diego State,207.0,4.71,17.0,32.5,120.0,4.63,7.35,9.875,32.25,78.75,73.375
Tariq Thompson,S,San Diego State,204.0,4.75,15.0,31.0,113.0,4.73,7.75,8.625,30.5,73.875,70.75
Shane Buechele,QB,SMU,210.0,4.96,,30.0,114.0,4.6,7.34,9.375,30.25,72.5,72.25
